player_name,nation,position,age,matches_played,starts,minutes_played,goals,assists,penalties_scored,yellow_cards,red_cards,expected_goals,expected_assists,team_name
Alisson,br BRA,GK,32,3,3,270,0,0,0,0,0,0.0,0.0,Liverpool
Dominik Szoboszlai,hu HUN,DF,24,3,3,270,1,0,0,0,0,0.1,0.2,Liverpool
Virgil van Dijk,nl NED,DF,34,3,3,270,0,0,0,0,0,0.2,0.0,Liverpool
Cody Gakpo,nl NED,FW,26,3,3,269,1,2,0,0,0,0.3,0.8,Liverpool
Mohamed Salah,eg EGY,FW,33,3,3,269,1,1,0,0,0,0.3,0.5,Liverpool
Ibrahima Konaté,fr FRA,DF,26,3,3,258,0,0,0,1,0,0.0,0.0,Liverpool
Florian Wirtz,de GER,MF,22,3,3,248,0,0,0,0,0,0.4,0.4,Liverpool
Milos Kerkez,hu HUN,DF,21,3,3,239,0,0,0,1,0,0.0,0.0,Liverpool
Hugo Ekitike,fr FRA,FW,23,3,3,228,2,1,0,0,0,1.3,0.3,Liverpool
Ryan Gravenberch,nl NED,MF,23,2,2,180,1,0,0,2,0,0.0,0.0,Liverpool
Alexis Mac Allister,ar ARG,MF,26,2,2,131,0,1,0,0,0,0.1,0.7,Liverpool
Curtis Jones,eng ENG,MF,24,3,1,138,0,0,0,0,0,0.0,0.1,Liverpool
Jeremie Frimpong,nl NED,DF,24,1,1,59,0,0,0,0,0,0.0,0.0,Liverpool
Wataru Endo,jp JPN,MF,32,3,0,34,0,1,0,1,0,0.0,0.1,Liverpool
Federico Chiesa,it ITA,FW,27,3,0,32,1,0,0,0,0,0.3,0.0,Liverpool
Joe Gomez,eng ENG,DF,28,2,0,31,0,0,0,0,0,0.0,0.0,Liverpool
Andrew Robertson,sct SCO,DF,31,1,0,31,0,0,0,0,0,0.0,0.0,Liverpool
Conor Bradley,nir NIR,DF,22,1,0,11,0,0,0,1,0,0.0,0.0,Liverpool
Harvey Elliott,eng ENG,MF,22,1,0,1,0,0,0,0,0,0.0,0.0,Liverpool
Rio Ngumoha,eng ENG,FW,17,1,0,1,1,0,0,0,0,0.4,0.0,Liverpool
Giovanni Leoni,it ITA,DF,18,0,0,,,,,,,,,Liverpool
Giorgi Mamardashvili,ge GEO,GK,24,0,0,,,,,,,,,Liverpool
Trey Nyoni,eng ENG,MF,18,0,0,,,,,,,,,Liverpool
Moisés Caicedo,ec ECU,MF,23,3,3,270,1,0,0,1,0,0.3,0.0,Chelsea
Robert Sánchez,es ESP,GK,27,3,3,270,0,0,0,0,0,0.0,0.0,Chelsea
Pedro Neto,pt POR,FW,25,3,3,260,1,0,0,0,0,0.4,0.5,Chelsea
Enzo Fernández,ar ARG,MF,24,3,3,258,2,1,1,0,0,1.8,0.7,Chelsea
João Pedro,br BRA,MF,23,3,3,252,2,2,0,0,0,1.4,1.0,Chelsea
Trevoh Chalobah,eng ENG,DF,26,3,3,248,1,0,0,0,0,0.5,0.0,Chelsea
Marc Cucurella,es ESP,DF,27,3,3,248,0,1,0,0,0,0.1,0.7,Chelsea
Tosin Adarabioyo,eng ENG,DF,27,2,2,180,0,0,0,0,0,0.0,0.0,Chelsea
Estêvão Willian,br BRA,FW,18,3,2,180,0,1,0,1,0,1.0,0.9,Chelsea
Malo Gusto,fr FRA,DF,22,3,2,170,0,0,0,0,0,0.0,0.0,Chelsea
Liam Delap,eng ENG,FW,22,3,2,92,0,0,0,0,0,0.2,0.0,Chelsea
Reece James,eng ENG,DF,25,3,1,110,0,0,0,1,0,0.0,0.5,Chelsea
Joshua Acheampong,eng ENG,DF,19,1,1,90,0,0,0,0,0,0.1,0.0,Chelsea
Jamie Gittens,eng ENG,FW,21,3,1,90,0,0,0,0,0,0.1,0.1,Chelsea
Cole Palmer,eng ENG,MF,23,1,1,90,0,0,0,0,0,0.2,0.0,Chelsea
Tyrique George,eng ENG,FW,19,1,0,67,0,0,0,0,0,0.2,0.0,Chelsea
Andrey Santos,br BRA,MF,21,3,0,51,0,0,0,1,0,0.3,0.1,Chelsea
Wesley Fofana,fr FRA,DF,24,1,0,22,0,0,0,0,0,0.0,0.0,Chelsea
Jorrel Hato,nl NED,DF,19,1,0,22,0,0,0,1,0,0.0,0.0,Chelsea
Dario Essugo,pt POR,MF,20,0,0,,,,,,,,,Chelsea
